id,name,type,country,abv
"Q2946359","Cerasuolo d'Abruzzo","wine","Italy",""
"Q2925580","Brindisi Rosso","wine","Italy",""
"Q2983148","Colli Euganei Fior d'Arancio","wine","Italy",""
"Q2967951","Château Mont-Pérat","wine","France",""
"Q135988488","Bia hơi","beer","","3"
"Q1518444","Vat 69","whisky","United Kingdom",""
"Q136470805","Cardeña","beer","Spain",""
"Q131705680","Texels Overzee IPA","beer","","6"
"Q135016000","Snake Venom Beer","beer","",""
"Q137643824","Amarillo","beer","","9.3"
"Q3566490","Washback","whisky","",""
"Q4553387","1792 Ridgemont Reserve","whisky","",""
"Q2983201","Colli Orientali del Friuli Merlot","wine","Italy",""
"Q2983234","Friuli Colli Orientali Riesling Renano","wine","Italy",""
"Q2983422","Colline Novaresi Nebbiolo","wine","Italy",""
"Q2983426","Colline Novaresi Vespolina","wine","Italy",""
"Q3941677","Rosso Piceno Superiore","wine","Italy",""
"Q3941695","Rosso di Montepulciano","wine","Italy",""
"Q3945342","Salaparuta Catarratto","wine","Italy",""
"Q3945340","Salaparuta Chardonnay","wine","Italy",""
"Q3907809","Pomino rosso","wine","Italy",""
"Q3945338","Salaparuta","wine","Italy",""
"Q3921815","Primitivo di Manduria dolce naturale","wine","Italy",""
"Q3937938","Riviera Ligure di Ponente Ormeasco Riviera dei Fiori","wine","Italy",""
"Q3937939","Riviera Ligure di Ponente Ormeasco superiore","wine","Italy",""
"Q3937940","Riviera Ligure di Ponente Pigato","wine","Italy",""
"Q3825934","Lago di Corbara Pinot Nero","wine","Italy",""
"Q3826887","Langhe","wine","Italy",""
"Q3758255","Garda classico rosso","wine","Italy",""
"Q25415424","Cerveza Pilsen","beer","Uruguay",""
"Q632775","Don de Dieu","beer","Canada",""
"Q18643989","Cerveza Patricia","beer","Uruguay",""
"Q127386976","Funky Falcon","beer","","5.2"
"Q130325536","Texels Tuunwal Tripel","beer","","8.5"
"Q55606946","Champion breweries","beer","Nigeria",""
"Q130272087","Gooisch Zwart","beer","Netherlands","6"
"Q130333058","Scheepsbok","beer","","6.9"
"Q5429417","Sinebrychoff Porter","beer","","7.2"
"Q2371239","Venloosch Alt","beer","",""
"Q2131449","Alfa Lente Bok","beer","","6.5"
"Q11883635","Myanmar","beer","Myanmar",""
"Q128150759","De Gouden Adelaar","beer","Netherlands","3.8"
"Q116505299","Old-Union Pale Beer","beer","United States",""
"Q2538109","Victoria Bitter","beer","Australia",""
"Q130559100","Strandstruner","beer","","5.5"
"Q117212940","René","beer","Belgium",""
"Q130563775","Lambertus Bier","beer","","5"
"Q10999547","Lucifer","beer","",""
"Q977482","Cisk","beer","Malta",""
"Q59384072","Cornet","beer","","8.5"
"Q130382472","Birra Messina Cristalli di Sale","beer","",""
"Q130383019","Cloud City","beer","",""
"Q1959087","Hertog Jan Karakter","beer","",""
"Q131351391","Rumoerige Roodborst","beer","","5.8"
"Q130547252","Slurfke","beer","",""
"Q130257382","Jopen Hop Zij Met Ons","beer","","6"
"Q124646000","De Klok","beer","","4.8"
"Q130472490","Texels Dubbel","beer","","6.4"
"Q2419008","Silly Saison","beer","","5"
"Q130473142","Little Smuling","beer","","3.1"
"Q125477251","Mosaic Hop","beer","","5.5"
"Q130478698","Gooisch Tripel","beer","","9.5"
"Q125483971","Hazy Sunrise","beer","","5.6"
"Q130307078","Nightporter","beer","","8"
"Q129485703","Juice Punch","beer","","5.8"
"Q13648760","Gulpener Dort","beer","","7"
"Q130325428","Andreas","beer","","8.5"
"Q130376701","Witte Rook","beer","","7"
"Q13567751","Amstel Radler","beer","",""
"Q27972948","Laurentina","beer","Mozambique",""
"Q130279169","De Weldoener Blond","beer","","6.5"
"Q1919778","Brand Dubbelbock","beer","","7.5"
"Q25641076","Peltr","beer","",""
"Q124751199","Regional Pilsen","beer","Venezuela",""
"Q130279545","Meander","beer","Netherlands","5.9"
"Q130386068","All Black","beer","","7.5"
"Q19884261","Brand IPA","beer","","7"
"Q16545279","Curtius","beer","",""
"Q130287324","150 Watt","beer","Netherlands","10"
"Q130395707","Mint To Be","beer","","6"
"Q130729723","Dark & Stormy","beer","","9.2"
"Q115467057","beer Hatuey clásica","beer","Cuba",""
"Q1252344","Armageddon","beer","United Kingdom","65"
"Q14752092","Texels Skuumkoppe","beer","","6"
"Q10988116","Kelt (beer)","beer","",""
"Q115576141","Grolsch Oud Bruin","beer","Netherlands",""
"Q118464510","Trautenberk","beer","Czech Republic",""
"Q65684731","Kordaat","beer","","4.8"
"Q2720922","IJwit","beer","","6.5"
"Q130321394","Gajes","beer","","8"
"Q130321377","Jopen North Sea IPA","beer","","6.5"
"Q131529469","Bavaria Herfstbok","beer","","6.5"
"Q130709858","Ultra Violet","beer","Czech Republic","4.5"
"Q15877488","Koeketiene","beer","Belgium","8.5"
"Q130324675","Bloedbroeder","beer","","9.1"
"Q131531596","Nognietnaar Huismus","beer","","6.4"
"Q3998179","Trebbiano di Aprilia","wine","Italy",""
"Q3958709","Sforzato di Valtellina","wine","Italy",""
"Q3998329","Trentino Marzemino","wine","Italy","11"
"Q3951168","Savuto","wine","Italy",""
"Q3991623","Tintilia del Molise","wine","Italy",""
"Q2995480","County Cricket Sclafani","wine","Italy",""
"Q2995511","Contea di Sclafani rosso riserva","wine","Italy",""
"Q2995597","Contessa Entellina","wine","Italy",""
"Q2995613","Contessa Entellina bianco","wine","Italy",""
"Q2995620","Contessa Entellina rosso","wine","Italy",""
"Q3021612","Delia Nivolelli Grillo","wine","Italy",""
"Q3947650","San Martino della Battaglia","wine","Italy",""
"Q3948377","Sangiovese di Romagna","wine","Italy",""
"Q3950508","Sardegna Semidano passito","wine","Italy",""
"Q3844029","Malvasia delle Lipari","wine","Italy",""
"Q3848166","Marino DOC","wine","Italy",""
"Q4010099","Vernaccia di Serrapetrona spumante","wine","Italy",""
"Q4007443","Val d'Arbia","wine","Italy",""
"Q4007583","Valdichiana rosato","wine","Italy",""
"Q4009388","Velletri bianco","wine","Italy",""
"Q4009922","Verdicchio di Matelica riserva","wine","Italy",""
"Q4010069","vermentino di gallura superiore","wine","Italy",""
"Q4010098","Vernaccia di San Gimignano riserva","wine","Italy",""
"Q4008343","Valtellina superiore","wine","Italy","12"
"Q4008343","Valtellina superiore","wine","Italy","13.5"
"Q3862225","Montecompatri Colonna","wine","Italy",""
"Q3866002","Moscadello di Montalcino","wine","Italy",""
"Q3862321","Monteregio di Massa Marittima","wine","",""
"Q3860961","Monreale Catarratto","wine","Italy",""
"Q7162661","Penfolds Grange","wine","Australia",""
"Q12951097","Bonamico","wine","Italy",""
"Q4570695","Valdepeñas","wine","Spain",""
"Q11404893","Tokachi Wine","wine","Japan",""
"Q11046803","Alban-a","wine","Italy",""
"Q8077453","Çalkarası","wine","Turkey",""
"Q12950962","Arleo","wine","Italy",""
"Q12950973","Arsaiga","wine","Italy",""
"Q12951024","Barilòt","wine","Italy",""
"Q12951032","Basarin","wine","Italy",""
"Q12951188","Caramin","wine","Italy",""
"Q12951221","Castlengh","wine","Italy",""
"Q12951380","Colaret","wine","Italy",""
"Q12951398","Comprino","wine","Italy",""
"Q12951412","Contacc","wine","Italy",""
"Q12951458","Costabela","wine","Italy",""
"Q12951506","Daprové","wine","Italy",""
"Q12951739","Garassin","wine","Italy",""
"Q12951906","Groppolo","wine","Italy",""
"Q12951421","Coronata","wine","Italy",""
"Q12952133","La Monela","wine","Italy",""
"Q12952142","La Vinsa","wine","Italy",""
"Q12952190","Lanzato","wine","Italy",""
"Q12952212","Le Grive","wine","Italy",""
"Q12952194","Tears of Paradise","wine","Italy",""
"Q12954238","Massarda","wine","Italy",""
"Q12954379","Moradella","wine","Italy",""
"Q12954398","Moscadil","wine","Italy",""
"Q12954397","Moscatel","wine","Italy",""
"Q12954459","Ne bianch","wine","Italy",""
"Q12954470","Neiròle","wine","Italy",""
"Q12954514","Nus rouge","wine","Italy",""
"Q12954927","Porticà","wine","Italy",""
"Q12955171","Rupestro","wine","Italy",""
"Q12955300","Sarticola","wine","Italy",""
"Q12955586","Torëtte","wine","Italy",""
"Q4929585","Blue Nun","wine","",""
"Q7802690","Barolo riserva","wine","Italy",""
"Q7838516","Trentino-Alto Adige/Südtirol wine","wine","",""
"Q7932711","Vino pipeño","wine","Chile",""
"Q5790649","Cream","wine","Spain",""
"Q4015196","Vittoria","wine","Italy",""
"Q11400368","Katsunuma Wine","wine","",""
"Q7336937","Riunite","wine","Italy",""
"Q11262139","Salice Salentino","wine","Italy",""
"Q6463671","La Mancha","wine","Spain",""
"Q7498341","Shiraz wine","wine","",""
"Q7838522","Trento DOC","wine","Italy",""
"Q5489602","Pale cream","wine","Spain",""
"Q7562180","Sonoma County wine","wine","United States",""
"Q11226255","Recioto della Valpolicella","wine","Italy",""
"Q12950866","Albachiara","wine","",""
"Q12955012","Bianco di Quistello","wine","Italy","11"
"Q4795974","Arribes","wine","Spain",""
"Q4674751","Acqua pazza","wine","",""
"Q12798814","Pikolit","wine","Slovenia",""
"Q3236769","Lessona","wine","Italy",""
"Q3326436","Mouton Cadet","wine","",""
"Q3093518","Gabiano riserva","wine","Italy",""
"Q3553937","Valle d'Aosta DOC","wine","Italy",""
"Q3555795","Verdicchio dei Castelli di Jesi passito","wine","Italy",""
"Q3555792","Verdicchio dei Castelli di Jesi classico","wine","Italy",""
"Q3388684","Pinerolese Ramie","wine","Italy",""
"Q3866024","Moscato","wine","Italy",""
"Q3866025","Moscato di Siracusa","wine","Italy",""
"Q3881975","Oltrepò Pavese Buttafuoco","wine","Italy",""
"Q3886982","Ostuni DOC","wine","Italy",""
"Q3881051","Offida","wine","Italy",""
"Q3902125","Piave raboso","wine","Italy",""
"Q3649244","Cacc'e mmitte di Lucera","wine","Italy",""
"Q3618365","Ansonica Costa dell'Argentario","wine","Italy",""
"Q3632920","Bagnoli Friularo","wine","Italy",""
"Q3639419","Bianchello del Metauro","wine","Italy",""
"Q3639454","Bianco di Pitigliano","wine","Italy",""
"Q3641731","Bolgheri bianco","wine","Italy",""
"Q3641732","Bolgheri rosso","wine","Italy",""
"Q3649800","Cagnina di Romagna","wine","Italy",""
