Paddle Me IPA,1304,1143,3,31,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Siletz Roadhouse & Brewery,243 North Gaither Street,Siletz,Oregon,United States,"44.722,-123.918",
Holiday Spice Lager Beer,1367,769,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Lakefront Brewery,1872 North Commerce Street,Milwaukee,Wisconsin,United States,"43.0547,-87.9053",http://www.lakefrontbrewery.com/index.html
Asahi Super Dry,4396,50,8,95,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Lager,North American Lager,Asahi Breweries,23-1 Azumabashi 1-chome,Tokyo,Kanto,Japan,,
Aprihop,4665,459,11,121,7,0,0,0,,,0,2010-07-22T13:00:00-07:00,Fruit Beer,Other Style,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware,United States,"38.7683,-75.3107",http://www.dogfish.com
Old Chub,4743,956,1,15,8,0,0,0,,,0,2010-07-22T13:00:00-07:00,Scotch Ale,British Ale,Oskar Blues Grill and Brew,303 Main Street,Lyons,Colorado,United States,"40.2246,-105.268",http://www.oskarblues.com/
Smooth Hoperator,5223,1211,7,92,7,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Doppelbock,German Lager,Stoudt's Brewery,2800 North Reading Road,Adamstown,Pennsylvania,United States,"40.2369,-76.072",http://www.stoudtsbeer.com/brewery.html
Saint Arnold Amber Ale,5321,1091,3,33,5.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Saint Arnold Brewing,2522 Fairway Park Drive,Houston,Texas,United States,"29.8123,-95.4675",http://www.saintarnold.com
Ãœber Sun Imperial Summer Wheat Ale,5447,1173,11,116,8,0,0,0,,,0,2010-07-22T13:00:00-07:00,Light American Wheat Ale or Lager,Other Style,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York,United States,"42.1008,-79.3357",http://www.southerntierbrewing.com/
India Style Brown Ale,5592,1243,3,38,6,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Brown Ale,North American Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia,United States,"33.9459,-83.4105",http://www.terrapinbeer.com/
Pine Belt Pale Ale,5826,1172,3,26,6.3000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Southern Star Brewing Company,1207 N. FM 3083 E.,Conroe,Texas,United States,"30.3489,-95.4427",http://www.southernstarbrewery.com/
Achel Bruin 8Â°,4706,280,5,60,8,0,0,0,,,0,2010-07-22T13:00:00-07:00,Belgian-Style Dubbel,Belgian and French Ale,Brouwerij der Sint-Benedictusabdij de Achelse Kluis,,Achel,,Belgium,"51.2515,5.546",http://www.achelsekluis.org/
Adriaan,110,620,-1,-1,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Haarlems Biergenootschap Jopen,R Pereboomweg 13 achter,Haarlem,,Netherlands,"52.3795,4.6377",
Export Ale,196,1136,3,26,5.0999999046,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Shipyard Brewing - Portland,86 Newbury Street,Portland,Maine,United States,"43.6619,-70.2489",http://www.shipyard.com/
Bigfoot 2000,463,1142,-1,-1,9.6000003815,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,"39.7246,-121.816",http://www.sierranevada.com/
Alt-DÃ¼rrener-WeiÃŸe,572,479,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Edelweissbrauerei Farny,Drren 5,Kilegg,Baden-Wrttemberg,Germany,,
Spezial-Export,587,1083,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Ruppaner-Brauerei,Hoheneggstrae 41-51,Konstanz,Baden-Wrttemberg,Germany,"47.6855,9.208",
Warminster Special Bitter,685,497,-1,-1,3.7999999523,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Elysian Brewing - TangleTown,2106 North 55th Street,Seattle,Washington,United States,"47.6688,-122.334",
Heavenly Helles,850,590,-1,-1,5.3000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska,United States,"41.4295,-97.3623",
Oatmeal Cream Stout,884,1143,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Siletz Roadhouse & Brewery,243 North Gaither Street,Siletz,Oregon,United States,"44.722,-123.918",
Stout,935,1205,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Stone Cellar Brewpub & Restaurant,1004 South Olde Oneida,Appleton,Wisconsin,United States,"44.2536,-88.4037",
Gueuze 1882,960,283,5,70,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,Belgian-Style Fruit Lambic,Belgian and French Ale,Brouwerij Girardin,Lindenbergstraat 10,Sint-Ulriks-Kapelle,Vlaams Brabant,Belgium,,
Pub Ale Draught,1536,148,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Boddington's Brewery,,Manchester,Manchester,United Kingdom,"53.4807,-2.2344",
Saison,1542,1268,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin,United States,"44.52,-88.0173",
Amber Ale,1777,1285,3,33,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Triumph Brewing of Princeton,138 Nassau Street,Princeton,New Jersey,United States,"40.3507,-74.6583",
Golden Prairie Blond,1910,607,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota,United States,"44.9467,-93.097",
ESB Ale,3958,541,1,4,5.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,Special Bitter or Best Bitter,British Ale,Flying Fish Brewing Company,1940 Olney Avenue,Cherry Hill,New Jersey,United States,"39.9121,-74.9701",http://www.flyingfish.com/
Samuel Adams Cherry Wheat,4052,157,1,10,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,English-Style Pale Mild Ale,British Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts,United States,"42.3144,-71.1034",http://www.samueladams.com/
Broken Spoke,4689,1244,3,26,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,The Alchemist,23 South Main Street,Waterbury,Vermont,United States,"44.3372,-72.756",http://www.alchemistbeer.com/
Coopers Premium Light,4934,397,8,96,2.9000000954,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Light Lager,North American Lager,Coopers Brewery,461 South Road,Regency Park,South Australia,Australia,"-34.8727,138.573",http://www.coopers.com.au/
Pompier,4986,976,-1,-1,12.100000381,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire,United States,"42.8368,-71.6626",http://www.pennichuckbrewing.com/
Obamagang Inauguration Ale,5185,249,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Brewery Ommegang,656 County Highway 33,Cooperstown,New York,United States,"42.6818,-74.9255",
Wynona's Big Brown Ale,5335,1330,3,38,7.3000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Brown Ale,North American Ale,"Voodoo Brewing Co.,LLC",215 1/5 Arch St.,Meadville,Pennsylvania,United States,"41.6372,-80.1549",http://www.voodoobrewery.com/
Capital Oktoberfest,5349,338,7,84,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Oktoberfest,German Lager,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin,United States,"43.0949,-89.5163",http://www.capital-brewery.com/
Round Barn Cocoa Stout,5387,1253,1,20,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Sweet Stout,British Ale,The Round Barn Winery & Brewery,10983 Hills Road,Baroda,Michigan,United States,"41.9211,-86.4583",http://www.roundbarnwinery.com/brewery.php
Standing Stone Nitro Stout,5463,1193,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Standing Stone Brewing Company,101 Oak Street,Ashland,Oregon,United States,"42.1976,-122.715",http://www.standingstonebrewing.com/
Marshal Zhukov's Imperial Stout,5726,379,3,43,11,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Imperial Stout,North American Ale,Cigar City Brewing,3924 West Spruce Street Suite A,Tampa,Florida,United States,"27.9587,-82.5093",http://cigarcitybeer.com/
Scratch Beer 31 - 2010 Citra Of Brotherly Love IPA,5833,1286,3,31,7.4000000954,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania,United States,"40.2559,-76.8715",http://www.troegs.com/
Vimalt Wheat,3011,407,8,95,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Lager,North American Lager,Court Avenue Brewing,309 Court Avenue,Des Moines,Iowa,United States,"41.5855,-93.621",
"5,000 Year Ale",3342,1030,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,"Pyramid Alehouse, Brewery and Restaurant - Seattle",1201 First Avenue South,Seattle,Washington,United States,,
Eisbock,3379,912,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Niagara Falls Brewing,6863 Lundy's Lane,Niagara Falls,Ontario,Canada,"43.0893,-79.11",
Amarossa,3390,1095,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Salado Creek Brewing Company,,San Antonio,Texas,United States,"29.4241,-98.4936",
KÃ¶lsch,3539,516,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Faultline Brewing #2,,Walnut Creek,California,United States,"37.8855,-122.033",
Nut Brown Ale,3906,871,3,38,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Brown Ale,North American Ale,Minocqua Brewing Company,238 Lake Shore Drive,Minocqua,Wisconsin,United States,"45.8722,-89.7097",http://www.minocquabrewingcompany.com
Happy Heron Pale Ale,2629,358,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Central Waters Brewing Company,351 Allen Street,Amherst,Wisconsin,United States,"44.4419,-89.2797",http://www.centralwaters.com/
Sixtus,1987,126,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Birra Forst,"Via Val Venosta, 8",Lagundo / Algund,,Italy,,
Kilt Kicker Wee Heavy,2057,536,1,15,7,0,0,0,,,0,2010-07-22T13:00:00-07:00,Scotch Ale,British Ale,Flossmoor Station Brewery,1035 Sterling Avenue,Flossmoor,Illinois,United States,"41.5433,-87.6789",
Market Street Wheat,2108,1229,8,95,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Lager,North American Lager,"T-Bonz Gill, Grill and Brewery",1028 Johnny Dodds Boulevard,Mount Pleasant,South Carolina,United States,"32.8091,-79.875",
Best Bull,2318,483,-1,-1,5.9000000954,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Egan Brewing,,De Pere,Wisconsin,United States,"44.4489,-88.0604",
Old Boardhead 1999,2339,562,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,United States,"45.7103,-121.515",
Caramel Apple Ale,1032,942,1,10,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,English-Style Pale Mild Ale,British Ale,Olde Main Brewing,316 Main Street,Ames,Iowa,United States,"42.0248,-93.6147",
Wheat,1236,759,4,50,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,South German-Style Hefeweizen,German Ale,La Jolla Brew House,7536 Fay Avenue,La Jolla,California,United States,"32.8409,-117.274",
Winter Fest Beer,1715,913,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Nicolet Brewing,,Florence,Wisconsin,United States,"45.9222,-88.2518",
Nut Brown Ale,1719,1051,3,38,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Brown Ale,North American Ale,Redhook Ale Brewery,,Seattle,Washington,United States,"47.6062,-122.332",http://www.redhook.com/
Steam Engine Common,1735,1268,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin,United States,"44.52,-88.0173",
Oktoberfest,1894,355,7,84,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Oktoberfest,German Lager,Cedar Brewing,,Cedar Rapids,Iowa,United States,"41.9625,-91.6918",
Hefe-WeiÃŸbier,1899,972,4,50,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,South German-Style Hefeweizen,German Ale,Paulaner,,Munich,,Germany,"48.1391,11.5802",http://www.paulaner.com/
Brown Fox Ale,1994,1298,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Two Brothers Brewing,30 Butterfield Road,Warrenville,Illinois,United States,"41.8206,-88.2068",http://www.twobrosbrew.com/
Cow Palace Scotch Ale 2001,2223,483,1,15,11.100000381,0,0,0,,,0,2010-07-22T13:00:00-07:00,Scotch Ale,British Ale,Egan Brewing,,De Pere,Wisconsin,United States,"44.4489,-88.0604",
Copper Wheat,2278,401,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Copper Eagle Brewing,,Grand Island,Nebraska,United States,"40.9222,-98.3581",
High Desert Imperial Stout,2478,1226,3,42,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Sweetwater Tavern - Centreville,14250 Sweetwater Lane,Centreville,Virginia,United States,"38.8289,-77.4393",
Tower ESB,2510,317,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,Colorado,United States,"39.705,-104.936",
Premium Lager,2626,253,8,95,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Lager,North American Lager,Brick Brewing,1 Old Brewery Lane,Formosa,Ontario,Canada,,
Mud Puppy Porter,2630,358,2,25,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Porter,Irish Ale,Central Waters Brewing Company,351 Allen Street,Amherst,Wisconsin,United States,"44.4419,-89.2797",http://www.centralwaters.com/
StÃ¼venbrÃ¤u Maibock,2641,483,7,90,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,Traditional German-Style Bock,German Lager,Egan Brewing,,De Pere,Wisconsin,United States,"44.4489,-88.0604",
Hopfenstange Pils,2691,437,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Delafield Brewhaus,3832 Hillside Drive,Delafield,Wisconsin,United States,"43.0481,-88.3553",
Bornem Triple,2745,304,5,72,9,0,0,0,,,0,2010-07-22T13:00:00-07:00,Other Belgian-Style Ales,Belgian and French Ale,Brouwerij Van Steenberge,Lindenlaan 25,Ertvelde,Oost-Vlaanderen,Belgium,"51.1766,3.7462",
#40 Golden Lager,2829,871,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Minocqua Brewing Company,238 Lake Shore Drive,Minocqua,Wisconsin,United States,"45.8722,-89.7097",http://www.minocquabrewingcompany.com
Big Horn Wyoming Blonde,2977,326,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming,United States,"41.1607,-104.802",
Jenlain Blonde,33,190,-1,-1,7.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Brasserie Duyck,"113, rte Nationale",Jenlain,,France,"50.3089,3.6285",
Pillar Point Pale Ale,263,624,3,26,4.5999999046,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,California,United States,"37.4903,-122.435",
Bam BiÃ¨re,395,723,5,74,4.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,French & Belgian-Style Saison,Belgian and French Ale,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan,United States,"42.3375,-83.8895",http://www.jollypumpkin.com
Hitachino Nest Celebration Ale 2006,426,742,-1,-1,9,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Kiuchi Shuzou Goushi Kaisya,"1257, Kounsosu",Ibaraki,Kanto,Japan,,
Golden Ale,727,445,-1,-1,5.1999998093,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Diamond Knot Brewery & Alehouse,621 Front Street,Mukilteo,Washington,United States,"47.9485,-122.305",http://www.diamondknot.com/
Dutch Girl Lager,746,1151,-1,-1,4.3000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington,United States,"48.4192,-122.335",
Alembic Pale,785,494,3,26,5.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Elliott Bay Brewery and Pub,4720 California Avenue SW,Seattle,Washington,United States,"47.5604,-122.387",
Vertical Epic 05.05.05,922,1204,-1,-1,8.5,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California,United States,"33.1157,-117.12",http://www.stonebrew.com/
Pale Ale,983,409,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,Pennsylvania,United States,"40.2795,-75.2143",http://www.crabbylarrys.com/
Ten Thousand Brew Ale,4196,1072,3,32,10,0,0,0,,,0,2010-07-22T13:00:00-07:00,Imperial or Double India Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon,United States,"44.6202,-124.052",http://www.rogue.com
Porter,4270,1142,2,25,5.5999999046,0,0,0,,,0,2010-07-22T13:00:00-07:00,Porter,Irish Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,"39.7246,-121.816",http://www.sierranevada.com/
Eisenbahn Weizenbock,4302,369,4,55,8,0,0,0,,,0,2010-07-22T13:00:00-07:00,South German-Style Weizenbock,German Ale,Cervejaria Sudbrack,"Rua Bahia, 5181",Blumenau,Santa Catarina,Brazil,"-26.8914,-49.1223",http://www.eisenbahn.com.br/
Wachusetts IPA,4322,1332,3,31,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Wachusetts Brewing Company,175 State Road East,Westminster,Massachusetts,United States,"42.5586,-71.8715",http://www.wachusettbrew.com
Oktoberfest,4346,959,7,84,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Oktoberfest,German Lager,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont,United States,"44.0197,-73.1693",http://www.ottercreekbrewing.com/
Cappuccino Stout,4472,765,3,42,8.3000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Stout,North American Ale,Lagunitas Brewing Company,1280 North McDowell Boulevard,Petaluma,California,United States,"38.2724,-122.662",http://www.lagunitas.com/
Resurrection,4496,242,5,60,7,0,0,0,,,0,2010-07-22T13:00:00-07:00,Belgian-Style Dubbel,Belgian and French Ale,Brewer's Art,1106 N. Charles St.,Baltimore,Maryland,United States,"39.3028,-76.6164",http://www.belgianbeer.com
Piston Bitter,4696,1244,1,5,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,Extra Special Bitter,British Ale,The Alchemist,23 South Main Street,Waterbury,Vermont,United States,"44.3372,-72.756",http://www.alchemistbeer.com/
White Ale,4747,848,5,67,4.8000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,Belgian-Style White,Belgian and French Ale,Mendocino Brewing - Saratoga Springs,,Saratoga Springs,New York,United States,"43.0831,-73.7846",http://www.mendobrew.com/
Rye IPA,4766,456,3,31,6.8000001907,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style India Pale Ale,North American Ale,Dock Street Beer,701 S. 50th Street,West Philly,Pennsylvania,United States,"39.9478,-75.2229",http://www.dockstreetbeer.com
Ridgeline Amber,4961,604,3,33,5.4000000954,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado,United States,"39.7539,-104.989",http://www.greatdivide.com/
Rahr's Bucking Bock,5030,1038,7,91,8,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Heller Bock/Maibock,German Lager,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas,United States,"32.7366,-97.3274",http://www.rahrbrewery.com/
Strawberry Honey Amber Ale,5095,1049,3,33,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Red Star Brewery & Grille,101 Ehalt St.,Greensburg,Pennsylvania,United States,"40.3044,-79.5471",http://www.redstarbrewery.com/
Padawan Pale Ale,5502,1336,3,26,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Walldorff Brew Pub,105 East State Street,Hastings,Michigan,United States,"42.6488,-85.2875",http://walldorffbrewpub.com/
Samuel Adams Noble Pils,5743,157,7,77,5.1999998093,0,0,0,,,0,2010-07-22T13:00:00-07:00,German-Style Pilsener,German Lager,Boston Beer Company,30 Germania Street,Boston,Massachusetts,United States,"42.3144,-71.1034",http://www.samueladams.com/
Old Salty,5796,645,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Heavyweight Brewing,,Ocean,New Jersey,United States,"39.9653,-74.3118",
Moonglow Weizenbock,3827,1326,4,55,8.6999998093,0,0,0,,,0,2010-07-22T13:00:00-07:00,South German-Style Weizenbock,German Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania,United States,"40.0061,-75.6942",http://www.victorybeer.com
Kings Pilsener,3135,579,-1,-1,5,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Gold Crown Brewing,71 King Street North,Waterloo,Ontario,Canada,"43.4676,-80.5231",
Black Forest Dunkelweizen,3145,576,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Glen Ellyn Sports Brew,,Glen Ellyn,Illinois,United States,"41.8775,-88.067",
Pale,3271,1046,3,26,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Red Kettle Brewing,,Encinitas,California,United States,"33.037,-117.292",
Walnut Buffalo Gold Premium Ale,3308,1068,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Rock Bottom Restaurant & Brewery - South Denver,9627 East County Line Road,Englewood,Colorado,United States,"39.5678,-104.874",
Red Eye Amber,3372,631,3,33,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Amber/Red Ale,North American Ale,Hapa*s Brew Haus and Restaurant,,Kihei,Hawaii,United States,"20.7592,-156.457",
Honey Brown,1190,925,8,95,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Lager,North American Lager,O'Gara's Bar & Grill,146 Snelling Avenue North,Saint Paul,Minnesota,United States,"44.9458,-93.167",
Stone Pale Ale,1258,1204,3,26,5.4000000954,0,0,0,,,0,2010-07-22T13:00:00-07:00,American-Style Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California,United States,"33.1157,-117.12",http://www.stonebrew.com/
Coffee Ale,1502,603,-1,-1,0,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,Great Dane Pub and Brewing #2,2980 Cahill Main,Fitchburg,Wisconsin,United States,"43.0177,-89.4232",
Yorkshire Terrier Premium Cask Bitter,1528,1389,-1,-1,4.1999998093,0,0,0,,,0,2010-07-22T13:00:00-07:00,,,York Brewery,12 Toft Green,York,,England,"53.9571,-1.0905",http://www.york-brewery.co.uk
