beer_id,brewery_id,beer_name,beer_style,beer_abv
41,155,Light Lager,Light Lager,4.0
42,155,Dark Ale,English Brown Ale,5.0
43,155,Rebellion Lager,American Pale Lager,6.0
44,155,Lager,American Pale Lager,5.0
45,155,Woody's Wild Ale,American Pale Ale (APA),
46,155,Rebellion Ale,American Pale Ale (APA),
47,139,Tremont Summer Ale,American Pale Ale (APA),4.4
48,154,Tremont Porter,American Porter,5.4
49,139,Tremont Winter Ale,Winter Warmer,7.2
50,139,Tremont Freedom Trail IPA,English India Pale Ale (IPA),6.4
51,139,Tremont Ale,English Pale Ale,4.8
52,101,Melbourn Bros. Apricot,Fruit / Vegetable Beer,3.4
54,18134,Blackhook Porter,American Porter,5.23
55,18134,Redhook Double Black Stout (with Coffee),American Double / Imperial Stout,7.0
56,101,Melbourn Bros. Strawberry,Fruit / Vegetable Beer,3.4
58,4,Allagash Grand Cru,Quadrupel (Quad),7.2
59,4,Allagash White,Witbier,5.2
60,27,Hard Hat American Beer,American Adjunct Lager,3.8
61,28,Anchor Porter,American Porter,5.6
62,28,Our Special Ale 1998 (Anchor Christmas Ale),Winter Warmer,
63,28,Anchor Steam Beer,California Common / Steam Beer,4.9
65,29,Budweiser,American Adjunct Lager,5.0
66,29,King Cobra Premium Malt Liquor,American Malt Liquor,6.0
67,30,14'ER ESB,Extra Special / Strong Bitter (ESB),5.13
68,18134,Redhook Rye,Rye Beer,
69,18134,Redhook Blonde,American Blonde Ale,5.77
71,18134,Redhook Hefe-Weizen,Hefeweizen,5.19
72,18134,Redhook Nut Brown Ale,English Brown Ale,5.57
73,664,Young's Double Chocolate Stout,Milk / Sweet Stout,5.2
74,45,Post Road Pumpkin Ale,Pumpkin Ale,5.0
75,150,Pocono Caramel Porter,American Porter,
76,150,Brewery Hill Centennial Lager,American Pale Lager,
78,149,Blanche De Bruxelles / Manneken Pis Belgian White,Witbier,4.5
79,148,Wee Heavy,Scotch Ale / Wee Heavy,6.5
80,31,Organic Münster Alt,Altbier,5.1
81,31,Organic Ur Pils,German Pilsener,5.2
82,31,Organic Hefe-Weizen,Hefeweizen,5.1
83,32,Beck's Oktoberfest,Märzen / Oktoberfest,5.0
84,33,Independence Wheat Ale,American Pale Wheat Ale,
85,33,Coffeehouse Porter,American Porter,6.2
86,33,Drayman's Porter,American Porter,6.2
87,147,Stone Pale Ale,American Pale Ale (APA),5.4
88,147,Stone IPA (India Pale Ale),American IPA,6.9
89,33,Lost Sailor India Pale Ale,English India Pale Ale (IPA),5.5
90,147,Stone Smoked Porter,American Porter,5.9
92,147,Arrogant Bastard Ale,American Strong Ale,7.2
93,33,Steel Rail Extra Pale Ale,American Pale Ale (APA),5.3
94,146,Red Sky Ale,American Amber / Red Ale,
95,145,Wit Original,Witbier,
96,144,Black Bavarian,Schwarzbier,6.0
97,144,Special Amber,Vienna Lager,5.0
99,142,Spaten Optimator,Doppelbock,7.6
100,306,Blue Moon Harvest Moon Pumpkin Ale,Pumpkin Ale,5.7
101,35,Samuel Adams Winter Lager,Bock,5.5
102,35,Samuel Adams Octoberfest,Märzen / Oktoberfest,5.3
103,35,Samuel Adams Summer Ale,American Pale Wheat Ale,5.3
104,35,Samuel Adams Boston Lager,Vienna Lager,4.9
106,35,Samuel Adams Spring Ale,Kölsch,5.2
108,35,Samuel Adams Cherry Wheat,Fruit / Vegetable Beer,5.3
109,35,Samuel Adams Golden Pilsner,German Pilsener,4.63
110,35,Samuel Adams Cream Ale,Cream Ale,
111,35,Samuel Adams Triple Bock,American Strong Ale,17.5
114,36,Belzebuth,Belgian Strong Pale Ale,13.0
115,156,Butthead Doppelbock,Doppelbock,8.2
116,156,Jack Whacker Wheat Ale,American Pale Wheat Ale,4.7
117,156,Maple Nut Brown Ale,American Brown Ale,4.5
118,156,Red Eye Märzen Stil Lager,Märzen / Oktoberfest,
119,156,Lost Dutchman Gold Ale,Kölsch,
120,156,Pick Axe IPA,American IPA,6.2
121,157,Stone Mansion Stout,American Stout,
122,157,Artist Colony Ale,English Brown Ale,
123,157,Iowa Pale Ale,English India Pale Ale (IPA),5.0
124,157,Stein Bock,Maibock / Helles Bock,6.25
125,107,John's Generations White Ale,Witbier,5.2
126,157,Stone City Hefeweizen,Hefeweizen,
127,157,Stone Bluff Pils,German Pilsener,4.5
128,157,Aaaah Bock,Bock,
129,37,Orval Trappist Ale,Belgian Pale Ale,6.9
130,36,Grand Cru,Belgian Dark Ale,
131,39,Ayinger Celebrator Doppelbock,Doppelbock,6.7
132,39,Ayinger Bräu Weisse,Hefeweizen,5.1
133,39,Ayinger Jahrhundert Bier,Dortmunder / Export Lager,5.5
134,39,Ayinger Altbairisch Dunkel,Munich Dunkel Lager,5.0
135,39,Ayinger Ur-Weisse,Dunkelweizen,5.8
136,39,Ayinger Maibock,Maibock / Helles Bock,
137,40,König Pilsener,German Pilsener,4.9
138,41,Corsendonk Pater / Abbey Brown Ale,Dubbel,7.5
139,41,Corsendonk Agnus / Abbey Pale Ale,Tripel,7.5
140,41,Corsendonk Christmas Ale,Belgian Strong Dark Ale,8.5
141,42,Hennepin (Farmhouse Saison),Saison / Farmhouse Ale,7.7
142,42,Ommegang (Abbey Ale),Dubbel,8.5
144,158,Whitewater Wheat Ale,Hefeweizen,5.3
145,158,Wild Raspberry Ale,Fruit / Vegetable Beer,5.6
146,45,Brooklyn Brown Ale,American Brown Ale,5.6
147,45,Brooklyn East India Pale Ale,English India Pale Ale (IPA),6.8
148,45,Brooklyn Lager,American Amber / Red Lager,5.2
149,46,Kinmount Willie Oatmeal Stout,Oatmeal Stout,4.2
150,46,Merlin's Ale,Extra Special / Strong Bitter (ESB),4.2
151,46,Old Jock Ale,Scotch Ale / Wee Heavy,6.7
152,46,Black Douglas Ale,Scottish Ale,5.2
153,47,Boon Geuze,Gueuze,6.0
155,48,Gulden Draak (Dark Triple),Belgian Strong Dark Ale,10.5
156,48,Piraat Ale,Belgian IPA,10.5
157,196,Affligem Dubbel,Dubbel,7.0
158,205,Alimony Ale,American IPA,6.8
159,158,Denver Pale Ale,English Pale Ale,5.4
160,52,Buzzards Bay Golden Ale,American Blonde Ale,4.3
161,53,Tennent's Lager,Euro Pale Lager,5.0
162,54,Lucknow Munich-Style Lager,Munich Helles Lager,
163,54,Lucknow Porter,American Porter,
164,54,Lucknow IPA,American IPA,
165,56,Pale Rider Ale,American Pale Ale (APA),
166,56,Celis Pale Bock,Bock,
167,56,Celis White,Witbier,
168,56,Celis Grand Cru,Witbier,
169,56,Celis Dubbel Ale,Dubbel,
171,57,Dos Equis Amber Lager,Vienna Lager,4.5
174,59,Concord Pale Ale,American Pale Ale (APA),
175,60,Nine Man Ale Golden Ale,American Blonde Ale,4.3
176,60,Benchwarmer Porter,English Porter,6.3
178,60,Strike Out Stout,English Stout,4.6
179,61,Cottrell Old Yankee Ale,American Pale Ale (APA),5.0
180,141,Smuttynose Winter Porter (Big Beer Series),American Porter,5.2
181,141,Smuttynose Barleywine Style Ale (Big Beer Series),American Barleywine,10.0
182,141,Smuttynose Portsmouth Lager,Vienna Lager,4.5
183,141,Smuttynose Octoberfest (Big Beer Series),Märzen / Oktoberfest,6.7
184,141,Smuttynose Old Brown Dog Ale,American Brown Ale,6.5
185,141,Smuttynose Imperial Stout (Big Beer Series),Russian Imperial Stout,9.8
186,141,Smuttynose Shoals Pale Ale,American Pale Ale (APA),5.4
187,141,Smuttynose Chuck Wheat Ale,American Pale Wheat Ale,
188,141,Smuttynose Maibock (Big Beer Series),Maibock / Helles Bock,8.7
192,62,Geary's Pale Ale,English Pale Ale,4.5
193,62,Geary's London Style Porter,English Porter,4.2
194,63,Cascade Ale,American Blonde Ale,4.5
195,63,Mirror Pond Pale Ale,American Pale Ale (APA),5.0
196,63,Bachelor ESB,Extra Special / Strong Bitter (ESB),5.3
197,63,Obsidian Stout,American Stout,6.4
198,63,Black Butte Porter,American Porter,5.2
199,10099,Immort Ale,American Strong Ale,11.0
200,65,Dornbusch Gold,Munich Helles Lager,
201,65,Dornbusch Alt,Altbier,
202,66,Einbecker Mai-Ur-Bock,Maibock / Helles Bock,6.5
203,67,Laguna Bay Australian Pale Ale,English Pale Ale,
204,68,Old Scratch Amber Lager,California Common / Steam Beer,5.5
205,68,Snake Dog IPA,American IPA,7.1
206,68,Road Dog Porter,American Porter,6.0
207,69,Hempen Golden,Herbed / Spiced Beer,
208,158,Bee Sting Honey Ale,American Pale Ale (APA),5.9
209,158,Ridgeline Amber Ale,Scottish Ale,5.4
210,5316,Full Sail Stout,American Stout,6.2
211,5316,Full Sail Pilsner,German Pilsener,5.4
212,5316,Full Sail ESB,Extra Special / Strong Bitter (ESB),5.5
213,5316,Full Sail Amber,American Amber / Red Ale,5.5
214,5316,Full Sail Pale Ale,American Pale Ale (APA),5.4
215,5316,Imperial Porter,Baltic Porter,7.0
217,5316,Full Sail Wassail,Winter Warmer,7.0
219,71,Fuller's ESB,Extra Special / Strong Bitter (ESB),5.9
220,71,Fuller's Old Winter Ale,Winter Warmer,5.3
221,71,Fuller's London Porter,English Porter,5.4
222,71,Fuller's London Pride,English Pale Ale,4.7
224,72,Schneider Aventinus,Weizenbock,8.2
225,73,Great Lakes Burning River Pale Ale,American Pale Ale (APA),6.0
226,73,Great Lakes Edmund Fitzgerald Porter,American Porter,5.8
227,73,Great Lakes Cleveland Brown Ale,English Brown Ale,6.8
228,73,Great Lakes Dortmunder Gold,Dortmunder / Export Lager,5.8
229,73,Great Lakes Eliot Ness,Vienna Lager,6.2
230,74,Gritty McDuff's Best Brown,English Brown Ale,
231,74,Gritty McDuff's Best Bitter,English Bitter,5.0
232,75,Corona Extra,American Adjunct Lager,4.6
233,75,Corona Light,Light Lager,4.1
234,76,Hacker-Pschorr Oktoberfest-Märzen,Märzen / Oktoberfest,5.8
235,159,Burton Bridge Empire India Pale Ale,English India Pale Ale (IPA),7.5
236,160,Hobgoblin,English Brown Ale,5.2
237,160,Fiddler's Elbow,English Pale Ale,5.2
238,77,Hammer & Nail Brown Ale,English Brown Ale,
239,77,Hammer & Nail Vienna Style Lager,Vienna Lager,
240,77,Hammer & Nail Scotch Classic Style Ale,Scotch Ale / Wee Heavy,
241,77,Hammer & Nail Extra Special Bitter Ale,Extra Special / Strong Bitter (ESB),6.7
243,12142,Alba Scots Pine Ale,Scottish Gruit / Ancient Herbed Ale,7.5
244,12142,Grozet Gooseberry & Wheat Ale,Scottish Gruit / Ancient Herbed Ale,5.0
245,12142,Fraoch Heather Ale,Scottish Gruit / Ancient Herbed Ale,5.0
246,81,Heineken Lager Beer,Euro Pale Lager,5.0
248,83,Hoegaarden Original White Ale,Witbier,4.9
249,84,Edelweiss Weissbier,Hefeweizen,5.4
250,85,Hyland American Pale Ale,American Pale Ale (APA),6.0
251,85,Hyland Amber Ale,American Amber / Red Ale,5.25
254,162,Ipswich Winter Ale,Old Ale,6.2
255,162,Ipswich Original Ale,English Pale Ale,5.4
256,162,1084 Barley Wine Ale,English Barleywine,
257,162,Ipswich Nut Brown Ale,English Brown Ale,5.5
258,162,Ipswich ESB,Extra Special / Strong Bitter (ESB),
259,162,Ipswich India Pale Ale (I.P.A.),American IPA,6.5
260,162,Ipswich Oatmeal Stout,Oatmeal Stout,7.0
261,88,Iron Range Amber Lager,Vienna Lager,4.48
262,158,Saint Bridget's Porter,American Porter,5.9
263,106,Schlitz,American Adjunct Lager,4.6
264,6994,Alexander Keith's India Pale Ale,English India Pale Ale (IPA),5.0
265,90,Old Porter,American Porter,
266,91,Kingfisher Premium Lager,American Pale Lager,4.8
267,92,Pilsener,German Pilsener,3.9
268,92,Suprema,American Adjunct Lager,4.5
270,94,IPA,English India Pale Ale (IPA),5.9
271,94,Hibernator,Scottish Ale,5.6
272,94,Harvest,American Brown Ale,4.6
273,94,Double Bag,Altbier,7.2
275,161,Ybor Gold Wheat Ale,American Pale Wheat Ale,3.9
276,140,Sierra Nevada Pale Ale,American Pale Ale (APA),5.6
278,161,Ybor Gold Brown Ale,English Brown Ale,4.4
279,140,Sierra Nevada Porter,American Porter,5.6
280,95,Löwenbräu Original,Munich Helles Lager,5.2
281,95,Löwenbräu Premium Dark,Munich Dunkel Lager,5.5
282,140,Sierra Nevada Wheat Beer,American Pale Wheat Ale,4.4
283,140,Sierra Nevada Stout,American Stout,5.8
284,96,Feast Of Fools,Fruit / Vegetable Beer,5.0
286,96,Ravell,American Porter,4.8
287,139,Summer Ale,American Pale Ale (APA),5.1
288,139,Prelude Special Ale,Winter Warmer,6.8
289,139,Brewer's Brown Ale,English Brown Ale,5.4
290,139,Longfellow Winter Ale,English Porter,5.9
291,139,Blue Fin Stout,Irish Dry Stout,4.7
292,96,Hocus Pocus,American Pale Wheat Ale,4.5
293,139,Old Thumper ESA,Extra Special / Strong Bitter (ESB),5.9
294,96,Bob's 1st Ale,American Amber / Red Ale,4.8
295,96,Fat Angel,American Pale Ale (APA),5.0
296,96,Jinx,Scotch Ale / Wee Heavy,6.9
297,96,Heart Of Darkness,Oatmeal Stout,5.3
298,96,Blind Faith,English India Pale Ale (IPA),6.2
299,96,#9,Fruit / Vegetable Beer,5.1
300,96,Miss Bliss,Herbed / Spiced Beer,4.5
301,97,Black Pearl Cream Ale,Cream Ale,5.3
302,138,India Pale Ale,English India Pale Ale (IPA),4.5
303,97,King's Honey Amber Ale,American Amber / Red Ale,
304,138,Original Porter,American Porter,4.8
305,138,Spitfire (Premium Ale Export),English Pale Ale,4.5
306,138,Casey's Smooth Stout,Irish Dry Stout,
307,10097,Harpoon Summer Beer,Kölsch,5.5
308,10097,Harpoon ESB,Extra Special / Strong Bitter (ESB),5.5
309,10097,Harpoon Spring Maibock,Maibock / Helles Bock,5.8
310,10097,Harpoon Winter Warmer,Winter Warmer,5.5
311,10097,Harpoon IPA,American IPA,5.9
312,10097,Harpoon Ale,American Pale Ale (APA),4.9
313,10097,Harpoon Octoberfest Beer,Märzen / Oktoberfest,5.5
314,10097,Harpoon Munich Type Dark Beer,Munich Dunkel Lager,5.6
315,10097,Harpoon Pilsner,German Pilsener,
316,10097,Pickwick Ale,American Blonde Ale,4.7
318,10097,UFO Hefeweizen,American Pale Wheat Ale,5.1
319,99,Saranac Pilsener,German Pilsener,5.3
320,99,Saranac Lager,American Pale Lager,4.7
321,99,Saranac Black Forest,Schwarzbier,5.5
322,100,McNeill's Oatmeal Stout,Oatmeal Stout,4.9
323,100,McNeill's Duck's Breath Bitter,Extra Special / Strong Bitter (ESB),5.5
324,100,McNeill's Champ Ale,American Pale Ale (APA),5.5
325,100,McNeill's Firehouse Amber Ale,American Amber / Red Ale,5.6
327,29,Michelob Pale Ale,English Pale Ale,5.5
328,103,Syracuse Pale Ale,American Pale Ale (APA),5.0
329,103,Beast Bitter,Extra Special / Strong Bitter (ESB),5.3
330,103,Grail Ale,American Amber / Red Ale,5.0
331,103,ImPaled Ale,English India Pale Ale (IPA),6.5
332,105,Miller Lite,Light Lager,4.17
334,107,Millstream Oktoberfest,Märzen / Oktoberfest,5.7
335,107,Millstream Lager,American Adjunct Lager,
336,107,Millstream Schild Brau Amber,Vienna Lager,4.9
337,162,Stone Cat E.S.B.,Extra Special / Strong Bitter (ESB),5.6
338,162,Stone Cat Ale,American Pale Ale (APA),
339,162,Stone Cat I.P.A.,American IPA,
340,109,Pendle Witches Brew,English Pale Ale,5.1
341,109,Black Cat,English Dark Mild Ale,3.4
344,137,Sea Dog Cabin Fever Winter Stock Ale,Winter Warmer,8.0
345,137,Sea Dog Blue Paw Wheat Ale,Fruit / Vegetable Beer,4.6
346,137,Sea Dog Windjammer Blonde Ale,American Blonde Ale,5.0
347,137,Sea Dog Old East India Pale Ale,English India Pale Ale (IPA),6.2
348,136,Wasatch Slickrock Lager,American Adjunct Lager,4.0
349,134,Jupiler,Euro Pale Lager,5.2
350,203,Ruddles Pub Ale,English Pale Ale,4.0
353,132,Mocha Porter,American Porter,5.3
354,132,Chipotle Ale,Chile Beer,5.5
355,132,Dead Guy Ale,Maibock / Helles Bock,6.5
356,132,Imperial Stout,Russian Imperial Stout,11.0
357,132,Smoke Ale,Smoked Beer,6.0
358,132,XS Imperial India Pale Ale,American Double / Imperial IPA,9.5
360,132,Artisan Vienna Lager,Vienna Lager,
361,132,Brutal Bitter Ale,American IPA,5.8
362,132,Oregon Golden Ale,American Blonde Ale,
363,132,American Amber Ale,American Amber / Red Ale,5.6
364,132,Half-E-Weizen,Witbier,4.8
365,132,Honey Cream Ale,Cream Ale,5.5
366,130,Rockies Fall Fest Amber Ale,American Amber / Red Ale,5.13
367,130,"Boulder, Extra Pale Ale",American Pale Ale (APA),
368,131,Nor'easter Stout,English Stout,
369,131,Schooner Point Lager,American Adjunct Lager,
370,129,Tucher Dunkles Hefe Weizen,Dunkelweizen,5.35
371,129,Tucher Helles Hefe Weizen,Hefeweizen,5.35
372,129,Tucher Kristall Weizen,Kristalweizen,5.1
374,128,Oberdorfer Hefeweizen Dunkel,Dunkelweizen,5.5
375,127,Bobby Dazzler,Winter Warmer,6.5
376,126,Pete's Wicked Summer Brew,Fruit / Vegetable Beer,
377,126,Pete's Wicked Winter Brew,Fruit / Vegetable Beer,5.2
378,126,Pete's Wicked Oktoberfest,Märzen / Oktoberfest,5.8
379,126,Pete's Wicked ESP,American Adjunct Lager,
380,126,Pete's Wicked Springfest,Maibock / Helles Bock,
381,126,Pete's Wicked Strawberry Blonde,Fruit / Vegetable Beer,5.0
382,125,Penn Weizen,Hefeweizen,5.0
383,125,Penn Dark,Munich Dunkel Lager,5.0
384,125,Penn Gold,Munich Helles Lager,4.0
385,125,Penn Pilsner,Vienna Lager,4.0
386,124,Paulaner Oktoberfest-Märzen,Märzen / Oktoberfest,6.0
387,124,Salvator Doppel Bock,Doppelbock,7.9
388,124,Paulaner Original Münchner,Munich Helles Lager,4.9
389,123,Winter Palace Wee Heavy,Scotch Ale / Wee Heavy,8.0
390,123,India'n Pale Ale,American IPA,
391,123,Holyoke Dam Ale,American Pale Ale (APA),
392,123,Cabot Street Wheat,Hefeweizen,5.5
393,123,Paper City Pilsner,German Pilsener,
394,123,Ireland Parish Brand Golden Ale,English Pale Ale,
395,122,Three Stooges Curly's Light,Light Lager,
396,122,The Three Stooges Beer,American Adjunct Lager,
397,119,Wolaver's Brown Ale,English Brown Ale,5.7
398,119,Wolaver's Pale Ale,American Pale Ale (APA),5.8
399,119,Wolaver's India Pale Ale,American IPA,6.5
400,120,Premium Dark,Munich Dunkel Lager,
401,118,Dark Island,Scottish Ale,4.6
402,118,SkullSplitter,Scotch Ale / Wee Heavy,8.5
403,112,ACME California IPA,American IPA,6.5
404,154,Tremont Festival Ale,Extra Special / Strong Bitter (ESB),
405,112,ACME California Brown Ale,American Brown Ale,5.6
406,112,ACME California Pale Ale,American Pale Ale (APA),5.0
407,112,Blue Star Great American Wheat Beer,American Pale Wheat Ale,4.5
408,112,Old #38 Stout,Irish Dry Stout,5.6
409,112,Scrimshaw Pilsner,German Pilsener,4.4
410,112,Ruedrich's Red Seal Ale,American Amber / Red Ale,5.5
411,112,Pranqster,Belgian Strong Pale Ale,7.6
412,112,Old Rasputin Russian Imperial Stout,Russian Imperial Stout,9.0
413,11,Allston Beer,American Pale Lager,
414,11,Springfest Maibock,Maibock / Helles Bock,
415,11,Cherry 2000,Lambic - Fruit,
416,11,Nail in the Brain Barley Wine,American Barleywine,
417,11,Trappist Monkey Abbey Ale,Dubbel,
418,11,Dortmunder Export Lager,Dortmunder / Export Lager,
419,11,Griggs ST Mild,American Pale Ale (APA),
420,11,MacFearsome's Scotch Ale,Scotch Ale / Wee Heavy,
421,11,Palatine Porter,American Porter,
422,11,Oak Whiskey Porter,American Porter,
423,11,Grampus Trippel,Tripel,
424,11,Triple Black,Fruit / Vegetable Beer,
425,11,Black Sow Stout,American Stout,
426,11,Lobsterback IPA,American IPA,
427,11,Nor'Easter Copper Ale,American Pale Ale (APA),
428,11,Munchener Helles,Munich Helles Lager,
429,1,Pilsner Urquell,Czech Pilsener,4.4
430,119,Otter Creek Mud Bock Spring Ale,American Brown Ale,5.7
431,119,Otter Creek Stovepipe Porter,American Porter,4.4
432,119,Otter Creek Pale Ale,American Pale Ale (APA),4.6
433,119,Otter Creek A Winter's Ale,Smoked Beer,5.8
434,119,Otter Creek Copper Ale,Altbier,5.4
435,119,Otter Summer Ale,American Pale Wheat Ale,4.9
436,163,Amstel Light,Light Lager,3.5
437,115,Nutfield Harvest Ale,American Amber / Red Ale,
438,164,Le Coq Imperial Extra Double Stout,Russian Imperial Stout,10.0
439,165,Original Sarah Hughes Dark Ruby Mild,English Dark Mild Ale,6.0
440,166,Desert Mist Golden Ale,American Blonde Ale,4.7
441,166,Red Feather Premium Ale,American Amber / Red Ale,
442,167,Lobkowicz Baron,Munich Dunkel Lager,4.7
443,167,Lobkowicz Prince,Maibock / Helles Bock,5.7
444,167,Lobkowicz Knight,Czech Pilsener,4.8
448,4,Allagash Tripel Ale,Tripel,9.0
449,169,Stella Artois,Euro Pale Lager,5.0
450,141,Smuttynose Belgian Style White Ale (Big Beer Series),Witbier,4.3
451,9343,Climax Wheat,American Pale Wheat Ale,
452,1567,Brew Moon Old Toasted Head,Old Ale,
453,1567,Brew Moon Big Bang Brown,English Brown Ale,
454,14,Bannatyne's Scotch Ale,Scotch Ale / Wee Heavy,9.2
455,13,Brewnet Bombshell,Altbier,
456,1548,Cranberry Ale,Fruit / Vegetable Beer,
457,170,Sunday River Alt Beer,Altbier,
458,172,Veltins Pilsner,German Pilsener,4.8
459,173,Fred,American Strong Ale,10.0
460,173,#29 Spawn Of Adam Bier,Old Ale,10.0
461,127,MacTarnahan's Amber Ale,American Amber / Red Ale,5.0
462,127,Summer Pale Ale,American Pale Ale (APA),
463,127,Oregon Honey Beer,American Pale Ale (APA),
464,127,Zig-Zag Lager,American Adjunct Lager,
465,127,Haystack Black Porter,American Porter,
472,1548,Harvest Spice Ale,Herbed / Spiced Beer,
473,1548,Dunster Street Amber,American Amber / Red Ale,
475,1548,Light Ale,American Pale Ale (APA),
476,1548,Pale Ale,English Pale Ale,5.1
477,1548,Irish Dry Stout,Irish Dry Stout,3.9
479,1548,Blueberry Wheat,Fruit / Vegetable Beer,
480,1548,Hugh Hefeweizen,Hefeweizen,
481,1548,Colonial Kölsch,Kölsch,
482,1548,AAA Gold,American Blonde Ale,
483,1548,Milk Stout,Milk / Sweet Stout,
485,1548,Nut Brown Ale,English Brown Ale,5.5
486,1548,Christmas Ale,Extra Special / Strong Bitter (ESB),
487,1548,Cherry Blossom,Fruit / Vegetable Beer,
488,1548,India Pale Ale (IPA),American IPA,
489,1548,Belgian Spiced Ale,Belgian Pale Ale,
490,13,Winter Welcome,Extra Special / Strong Bitter (ESB),
491,13,Special Old Ale,Old Ale,
492,13,Summer Bitter,English Bitter,
493,13,Commonwealth IPA,English India Pale Ale (IPA),
494,13,American Pale Ale,American Pale Ale (APA),
495,13,Blonde Ale,English Pale Ale,
496,13,Golden Ale,English Pale Ale,
497,13,Famous Porter,American Porter,
498,13,Brown Ale,English Brown Ale,
499,13,Boston's Best Burton Ale,Extra Special / Strong Bitter (ESB),
500,13,Best Bitter,English Bitter,
501,13,Stout,English Stout,
502,14,Saison du CBC,Saison / Farmhouse Ale,
503,14,Dunkles Weizen,Dunkelweizen,5.6
504,14,80 Schilling Scottish Ale,Scottish Ale,6.1
505,14,Big Man Ale,American IPA,6.8
506,14,Hopalong's ESB,Extra Special / Strong Bitter (ESB),5.2
507,14,Hefeweizen,Hefeweizen,6.0
508,14,Bitchin' Special Bitter,Extra Special / Strong Bitter (ESB),4.7
509,14,Biere De Garde,Bière de Garde,8.0
510,14,Blunderbuss Barley Wine,American Barleywine,11.5
511,14,Beantowne Espresso Stout,American Stout,5.6
512,14,Regatta Golden,Kölsch,4.2
513,14,Tall Tale Pale Ale,American Pale Ale (APA),5.9
514,14,Cambridge Amber,American Amber / Red Ale,4.9
515,14,Charles River Porter,American Porter,5.9
516,14,Thetford IPA,American IPA,
517,1567,Brew Moon Echo Rock Pale Ale,American Pale Ale (APA),
518,1567,Brew Moon Broadway Blonde,American Blonde Ale,
519,1567,Brew Moon Hefeweizen,Hefeweizen,
520,1567,Brew Moon Tony's Steamin Lager,California Common / Steam Beer,
521,1567,Brew Moon Prussia's Pride ESB,Extra Special / Strong Bitter (ESB),
522,1567,Brew Moon Toasted Head IPA,American IPA,
523,1567,Brew Moon Moon Light,Light Lager,
524,1567,Brew Moon Purple Plum Wheat Ale,Fruit / Vegetable Beer,
525,1567,Brew Moon Herbale,Herbed / Spiced Beer,
526,1567,Brew Moon Planetary Porter,American Porter,
527,1567,Brew Moon Alternative Ale,Altbier,
529,1567,Brew Moon Munich Gold,Munich Helles Lager,
531,1567,Brew Moon Lost Planet EPA,American Pale Ale (APA),
532,1567,Brew Moon Oktoberfest,American Amber / Red Ale,
534,1567,Brew Moon Orion Red,Irish Red Ale,
535,1567,Brew Moon Mayberry Wheat R.F.D.,Fruit / Vegetable Beer,
537,9343,Independence Rye,Rye Beer,
538,9343,Fenway Pale Ale,American Pale Ale (APA),5.5
539,9343,Muddy River Porter,American Porter,5.5
540,9343,Curley's Irish Stout,Irish Dry Stout,4.0
541,9343,Haymarket Hefe-Weizen,Hefeweizen,4.5
542,9343,ASB 99,American Pale Ale (APA),
543,9343,Mayflower Maibock,Maibock / Helles Bock,
544,9343,Canal Street Cream Ale,Cream Ale,
545,9343,Bay State ESB,Extra Special / Strong Bitter (ESB),6.0
546,9343,Printemps Saison,Saison / Farmhouse Ale,
549,9343,Bambino Ale,American Blonde Ale,4.0
551,9343,Allston Mild,English Dark Mild Ale,3.5
552,9343,Back Bay IPA,American IPA,6.5
